iX,iY,iZ,depth_mm,mean_dose_cGy,stddev_dose_cGy,err_dose_cGy,err_rel_percent,mean_internal_rms_cGy,stddev_internal_rms_cGy,err_internal_rms_cGy,mean_entries,stddev_entries,err_entries
0,0,0,15.75,0.983349,0.0227109812157,0.00718184285388,0.730345264385,335.2131,11.1003496687,3.51023877773,3687.9,27.4608812677,8.68389313615
0,0,1,15.25,0.983199,0.0255476876275,0.00807888818533,0.821694101126,332.964,9.3158683856,2.94593624808,3713.8,48.0712434252,15.201461918
0,0,2,14.75,1.001494,0.0206410407145,0.00652727019341,0.651753299911,341.1683,7.94389876362,2.51208135948,3714.3,47.2747289786,14.949581934
0,0,3,14.25,0.9984392,0.0156001141292,0.00493318924069,0.494090099897,355.0118,35.4671409173,11.2156947393,3704.4,53.3670726614,16.8761501666
0,0,4,13.75,0.9895836,0.0255797683822,0.00808903301074,0.817417852392,343.3019,19.0726630865,6.03130563984,3692.9,59.3510273243,18.7684427816
0,0,5,13.25,0.985886,0.0240565038561,0.00760733447258,0.771624150519,339.4585,13.3513510199,4.22206790632,3704,50.5481068994,15.9847149212
0,0,6,12.75,0.9817575,0.0219850305498,0.00695227709659,0.708146064236,335.5454,8.87986330225,2.80805933461,3697.7,39.2514684793,12.4124041901
0,0,7,12.25,0.9693085,0.0178624753557,0.00564861067727,0.582746429776,335.9362,13.2222888488,4.18125486427,3650.4,48.1852905172,15.2375267751
0,0,8,11.75,0.9719287,0.0234083007407,0.00740235464948,0.761614987754,337.3551,15.548383156,4.9168304706,3654.4,46.9259463884,14.8392871946
0,0,9,11.25,0.9731055,0.0241597711231,0.00763999044975,0.785114301558,334.3296,11.3111293394,3.57689316214,3659.4,73.7943087236,23.3358093924
0,0,10,10.75,0.974705,0.0421678028648,0.0133346300978,1.36806829736,341.8057,15.1110976294,4.77854864542,3664.9,94.6178864932,29.920802871
0,0,11,10.25,0.9682688,0.0367020954316,0.0116062216465,1.1986569893,346.7571,20.0923328298,6.35375352484,3608.4,87.0787638355,27.5367229552
0,0,12,9.75,0.9647965,0.0140931554014,0.0044566470487,0.461926121073,344.5787,18.7147811045,5.91813342017,3617.5,59.0032955765,18.6584803478
0,0,13,9.25,0.9612944,0.019585085778,0.00619334792284,0.644271715599,348.848,36.9930346206,11.6982246963,3596.5,73.1486310345,23.1316281792
0,0,14,8.75,0.952185,0.0260583697324,0.00824038004652,0.865417964631,336.4061,10.0733700468,3.18547930616,3560.5,83.6384414542,26.4487974942
0,0,15,8.25,0.9419837,0.0247332629696,0.00782134449518,0.830305714969,336.797,8.58010682399,2.71326801314,3540,56.2435181451,17.7857620959
0,0,16,7.75,0.9337849,0.0154337497816,0.00488058021471,0.522666431499,337.6407,10.9240909619,3.45450088065,3498,47.9374592568,15.1591556493
0,0,17,7.25,0.9157371,0.0200286434469,0.00633361317355,0.691640993201,346.4986,26.1981150857,8.28457140741,3441.4,63.7986415738,20.1749018998
0,0,18,6.75,0.9098185,0.023926372285,0.00756618325658,0.831614575499,352.7984,45.0265343084,14.2386403558,3396.1,40.8451003454,12.9163548349
0,0,19,6.25,0.8870944,0.0148746469403,0.00470377637224,0.53024530109,336.1281,24.7088876023,7.81363632725,3352.5,38.7506272351,12.2540242823
0,0,20,5.75,0.87557,0.0273062433805,0.00863499234253,0.986213819858,339.7775,28.5463315069,9.02714264039,3270.9,52.737189071,16.6769634859
0,0,21,5.25,0.8491268,0.0182621919507,0.00577501216314,0.680111870588,339.3055,34.7871980068,11.0006779117,3203,63.928779817,20.2160552257
0,0,22,4.75,0.826487,0.0208430182768,0.00659114110673,0.797488781643,322.9383,17.9378282102,5.67243934212,3130,66.0319787847,20.8811451368
0,0,23,4.25,0.7951673,0.0296516017032,0.00937665976543,1.17920590616,327.7114,33.1600408363,10.4861256347,3035.8,49.3936568127,15.6196457493
0,0,24,3.75,0.763997,0.02730540393,0.00863472688496,1.13020429203,303.6856,12.482360854,3.94726908747,2967,82.6357469057,26.1317176371
0,0,25,3.25,0.7311692,0.0155062799092,0.00490351625492,0.67064042836,308.1604,14.6969003625,4.64756796902,2830.6,50.6100560934,16.0043049764
0,0,26,2.75,0.6809008,0.0144563638182,0.00457150363496,0.671390551305,303.0427,39.5680061218,12.5125021816,2670.6,48.7173252322,15.4057709245
0,0,27,2.25,0.6233856,0.0152547756908,0.0048239836378,0.773836231989,274.5822,20.7686911523,6.56763680617,2523.9,55.1371018462,17.4358825415
0,0,28,1.75,0.5649717,0.0219437756553,0.00693923115346,1.22824402593,275.4625,32.7171394473,10.3460679179,2331.9,55.9711235073,17.6996233482
0,0,29,1.25,0.4925452,0.0278418212878,0.00880435694768,1.78752263705,278.6372,65.2487392927,20.633463062,2072.9,50.9824588571,16.1220690704
0,0,30,0.75,0.3864041,0.0182921027796,0.00578447079775,1.49700036768,226.0244,35.4208066669,11.2010425628,1777.8,37.087883616,11.7282185822
0,0,31,0.25,0.2434849,0.012475414377,0.00394507241857,1.62025341965,172.429,24.5549532546,7.76495801234,1341.6,39.3367230178,12.4393640423
